ID-Produto;Produto;Categoria;Data Venda;Custo
SKU-0000001;LG K10 TV Power;Celulares;04/10/2012; R$ 345,00 
SKU-0000002;Geladeira Duplex;Eletrodomésticos;01/01/2012; R$ 712,00 
SKU-0000003;Lavadora 11 Kg;Eletrodomésticos;02/02/2012; R$ 390,00 
SKU-0000004;Lavadora 11 Kg;Eletrodomésticos;03/03/2012; R$ 200,00 
SKU-0000005;Lavadora 11 Kg;Eletrodomésticos;04/04/2012; R$ 234,00 
SKU-0000006;Lavadora 11 Kg;Eletrodomésticos;04/05/2012; R$ 90,00 
SKU-0000007;Geladeira Duplex;Eletrodomésticos;04/06/2012; R$ 134,00 
SKU-0000008;Geladeira Duplex;Eletrodomésticos;04/07/2012; R$ 800,00 
SKU-0000009;Geladeira Duplex;Eletrodomésticos;04/08/2012; R$ 400,00 
SKU-0000010;Geladeira Duplex;Eletrodomésticos;04/09/2012; R$ 600,00 
SKU-0000011;Geladeira Duplex;Eletrodomésticos;04/09/2012; R$ 560,00 
SKU-0000012;Geladeira Duplex;Eletrodomésticos;04/11/2012; R$ 790,00 
SKU-0000013;Geladeira Duplex;Eletrodomésticos;04/11/2012; R$ 790,00 
SKU-0000014;Geladeira Duplex;Eletrodomésticos;04/12/2012; R$ 790,00 
SKU-0000015;Geladeira Duplex;Eletrodomésticos;04/12/2012; R$ 790,00 
SKU-0000016;Lavadora 11 Kg;Eletrodomésticos;02/01/2013; R$ 120,00 
SKU-0000017;Lavadora 11 Kg;Eletrodomésticos;02/02/2013; R$ 120,00 
SKU-0000018;Lavadora 11 Kg;Eletrodomésticos;02/03/2013; R$ 120,00 
SKU-0000019;Lavadora 11 Kg;Eletrodomésticos;02/04/2013; R$ 120,00 
SKU-0000020;Lavadora 11 Kg;Eletrodomésticos;02/05/2013; R$ 120,00 
SKU-0000021;Lavadora 11 Kg;Eletrodomésticos;02/06/2013; R$ 120,00 
SKU-0000022;Lavadora 11 Kg;Eletrodomésticos;02/07/2013; R$ 120,00 
SKU-0000023;Lavadora 11 Kg;Eletrodomésticos;02/08/2013; R$ 120,00 
SKU-0000024;Lavadora 11 Kg;Eletrodomésticos;02/09/2013; R$ 120,00 
SKU-0000025;Lavadora 11 Kg;Eletrodomésticos;02/10/2013; R$ 120,00 
SKU-0000026;Lavadora 11 Kg;Eletrodomésticos;02/11/2013; R$ 120,00 
SKU-0000027;Lavadora 11 Kg;Eletrodomésticos;02/12/2013; R$ 120,00 
SKU-0000028;Geladeira Duplex;Eletrodomésticos;02/01/2013; R$ 120,00 
